mask,wavelength,lag_hours,spearman_r,n
quiet_dst50,1335,114,0.6593499138854405,1172
quiet_dst50,1335,117,0.6571688709367239,1170
quiet_dst50,1335,120,0.6453134258902095,1168
quiet_dst50,1405,0,0.8528813983591743,1198
quiet_dst50,1405,3,0.8573737417949092,1196
quiet_dst50,1405,6,0.8621598708759088,1195
quiet_dst50,1405,9,0.8643735112095778,1194
quiet_dst50,1405,12,0.8626034361233306,1193
quiet_dst50,1405,15,0.8623532757317964,1192
quiet_dst50,1405,18,0.8636571316778945,1192
quiet_dst50,1405,21,0.8678218045071548,1192
quiet_dst50,1405,24,0.8682140205300223,1192
quiet_dst50,1405,27,0.8681968366607206,1191
quiet_dst50,1405,30,0.8717227522929786,1191
quiet_dst50,1405,33,0.8721048407867534,1191
quiet_dst50,1405,36,0.8687304408010733,1191
quiet_dst50,1405,39,0.8647480461932716,1191
quiet_dst50,1405,42,0.8631019726277149,1190
quiet_dst50,1405,45,0.8621946581964333,1190
quiet_dst50,1405,48,0.8604227909076361,1190
quiet_dst50,1405,51,0.8579312830054772,1190
quiet_dst50,1405,54,0.8559436566952743,1190
quiet_dst50,1405,57,0.8522151180606639,1190
quiet_dst50,1405,60,0.8464766287971568,1190
quiet_dst50,1405,63,0.8426798749165544,1189
quiet_dst50,1405,66,0.8400758294859162,1188
quiet_dst50,1405,69,0.8372006065596785,1186
quiet_dst50,1405,72,0.8336570598011688,1184
quiet_dst50,1405,75,0.8313504520099174,1182
quiet_dst50,1405,78,0.8302978029347008,1180
quiet_dst50,1405,81,0.8272857209244542,1178
quiet_dst50,1405,84,0.8209539992717562,1176
quiet_dst50,1405,87,0.815723295516329,1175
quiet_dst50,1405,90,0.814255067643789,1175
quiet_dst50,1405,93,0.8133722032072823,1175
quiet_dst50,1405,96,0.8074837501784576,1175
quiet_dst50,1405,99,0.802001877411953,1175
quiet_dst50,1405,102,0.8005781807449138,1175
quiet_dst50,1405,105,0.79646188476478,1175
quiet_dst50,1405,108,0.7851340041616705,1175
quiet_dst50,1405,111,0.7754583274274682,1174
quiet_dst50,1405,114,0.7723383237917721,1172
quiet_dst50,1405,117,0.7696091418105973,1170
quiet_dst50,1405,120,0.7598236635859528,1168
